"Story","Title","Result","Date","Stability","Duration (s)"
"Login to NewTour","Login to new Tours profile","SUCCESS","2018-12-30T19:42:36.271+05:30[Asia/Calcutta]","0.0","39.02"
"New User Registeration","Create a new profile using a new emailId","PENDING","2018-12-30T19:43:32.11+05:30[Asia/Calcutta]","0.0","0.03"
